,work_year,experience_level,employment_type,job_title,remote_ratio,company_location,company_size,salary_usd
0,2023,SE,1,Principal Data Scientist,100,ES,3,97600
1,2023,MI,2,ML Engineer,100,US,1,30000
2,2023,MI,2,ML Engineer,100,US,1,25500
3,2023,SE,1,Data Scientist,100,CA,2,175000
4,2023,SE,1,Data Scientist,100,CA,2,120000
5,2023,SE,1,Applied Scientist,0,US,3,222200
6,2023,SE,1,Applied Scientist,0,US,3,136000
9,2023,SE,1,Data Scientist,0,US,2,147100
10,2023,SE,1,Data Scientist,0,US,2,90700
11,2023,SE,1,Data Analyst,100,US,2,130000
12,2023,SE,1,Data Analyst,100,US,2,100000
13,2023,EN,1,Applied Scientist,0,US,3,213660
14,2023,EN,1,Applied Scientist,0,US,3,130760
15,2023,SE,1,Data Modeler,0,US,2,147100
16,2023,SE,1,Data Modeler,0,US,2,90700
17,2023,SE,1,Data Scientist,0,US,2,170000
18,2023,SE,1,Data Scientist,0,US,2,150000
19,2023,MI,1,Data Analyst,100,US,2,150000
20,2023,MI,1,Data Analyst,100,US,2,110000
21,2023,SE,1,Research Engineer,0,DE,2,275000
22,2023,SE,1,Research Engineer,0,DE,2,174000
23,2023,SE,1,Analytics Engineer,100,GB,2,230000
24,2023,SE,1,Analytics Engineer,100,GB,2,143200
25,2023,SE,1,Business Intelligence Engineer,0,US,2,225000
26,2023,SE,1,Business Intelligence Engineer,0,US,2,156400
27,2023,SE,1,Machine Learning Engineer,0,US,2,200000
28,2023,SE,1,Machine Learning Engineer,0,US,2,130000
29,2023,SE,1,Data Strategist,0,CA,2,90000
30,2023,SE,1,Data Strategist,0,CA,2,72000
31,2023,SE,1,Data Engineer,0,US,2,253200
32,2023,SE,1,Data Engineer,0,US,2,90700
34,2023,SE,1,Computer Vision Engineer,0,US,2,184590
35,2023,MI,1,Data Engineer,0,US,2,162500
36,2023,MI,1,Data Engineer,0,US,2,130000
37,2023,MI,1,Data Analyst,0,US,2,105380
38,2023,MI,1,Data Analyst,0,US,2,64500
39,2023,EN,1,Data Quality Analyst,100,NG,3,100000
40,2023,EN,1,Compliance Data Analyst,100,NG,3,30000
41,2022,MI,1,Machine Learning Engineer,50,IN,3,23100
42,2023,EN,1,Applied Scientist,0,US,3,204620
43,2023,EN,1,Applied Scientist,0,US,3,110680
44,2023,SE,1,Data Engineer,0,US,2,270703
45,2023,SE,1,Data Engineer,0,US,2,221484
46,2023,SE,1,Data Scientist,100,US,2,212750
47,2023,SE,1,Data Scientist,100,US,2,185000
48,2023,SE,1,Data Scientist,100,US,2,262000
49,2023,SE,1,Data Scientist,100,US,2,245000
50,2023,SE,1,Data Scientist,100,US,2,275300
51,2023,SE,1,Data Scientist,100,US,2,183500
52,2023,SE,1,Data Scientist,100,US,2,218500
53,2023,SE,1,Data Scientist,100,US,2,199098
54,2023,SE,1,Data Engineer,100,US,2,203300
55,2023,SE,1,Data Engineer,100,US,2,123600
56,2023,SE,1,Research Engineer,0,US,2,189110
57,2023,SE,1,Research Engineer,0,US,2,139000
58,2023,EX,1,Data Scientist,0,US,2,258750
59,2023,EX,1,Data Scientist,0,US,2,185000
60,2023,SE,1,Data Engineer,100,US,2,231500
61,2023,SE,1,Data Engineer,100,US,2,166000
62,2023,SE,1,Data Scientist,100,US,2,172500
63,2023,SE,1,Data Scientist,100,US,2,110500
64,2023,SE,1,Data Engineer,0,US,2,238000
65,2023,SE,1,Data Engineer,0,US,2,176000
66,2023,SE,1,Data Engineer,100,US,2,237000
67,2023,SE,1,Data Engineer,100,US,2,201450
69,2023,SE,1,Applied Scientist,0,US,3,159100
70,2023,SE,1,Data Engineer,0,US,2,115000
71,2023,SE,1,Data Engineer,0,US,2,81500
72,2023,SE,1,Data Scientist,100,US,2,237000
73,2023,SE,1,Data Scientist,100,US,2,201450
74,2023,SE,1,Computer Vision Engineer,0,US,2,280000
75,2023,SE,1,Computer Vision Engineer,0,US,2,210000
76,2023,SE,1,Data Architect,100,US,2,280100
77,2023,SE,1,Data Architect,100,US,2,168100
78,2023,SE,1,Data Engineer,100,US,2,193500
79,2023,SE,1,Data Engineer,100,US,2,139000
80,2023,MI,1,Data Scientist,0,HK,3,66300
81,2023,SE,1,Machine Learning Engineer,100,US,2,150000
82,2023,MI,1,Applied Machine Learning Engineer,100,DE,1,79300
84,2023,MI,1,Machine Learning Engineer,100,NL,3,109800
85,2023,SE,1,Business Intelligence Engineer,0,US,2,185900
86,2023,SE,1,Business Intelligence Engineer,0,US,2,129300
87,2023,SE,1,Data Engineer,100,US,2,225000
88,2023,SE,1,Data Engineer,100,US,2,175000
89,2023,SE,1,Data Engineer,0,US,2,185000
90,2023,SE,1,Data Engineer,0,US,2,140000
91,2023,SE,1,Data Scientist,0,ES,2,54900
92,2023,SE,1,Data Scientist,0,ES,2,43920
93,2023,SE,1,Data Scientist,0,US,2,105000
94,2023,SE,1,Data Scientist,0,US,2,70000
95,2023,EN,1,Machine Learning Engineer,0,US,2,163196
96,2023,EN,1,Machine Learning Engineer,0,US,2,145885
97,2023,SE,1,Data Engineer,100,US,2,217000
98,2023,SE,1,Data Engineer,100,US,2,185000
99,2023,SE,1,Data Analyst,0,US,3,202800
100,2023,SE,1,Data Analyst,0,US,3,104300
101,2023,SE,1,Data Analyst,0,US,2,145000
102,2023,SE,1,Data Analyst,0,US,2,65000
103,2023,SE,1,Data Engineer,0,US,2,165000
104,2023,SE,1,Data Engineer,0,US,2,132300
105,2023,SE,1,Data Engineer,0,US,2,179170
106,2023,SE,1,Data Engineer,0,US,2,94300
107,2023,SE,1,Analytics Engineer,0,US,2,152500
108,2023,SE,1,Analytics Engineer,0,US,2,116450
109,2023,SE,1,Data Engineer,0,US,2,247300
110,2023,SE,1,Data Engineer,0,US,2,133800
111,2023,SE,1,Research Engineer,0,US,2,203000
112,2023,SE,1,Research Engineer,0,US,2,133000
113,2023,EN,1,Research Scientist,50,US,3,220000
114,2022,EN,1,Machine Learning Engineer,100,CH,1,59400
115,2023,SE,1,Data Scientist,0,US,2,150000
116,2023,SE,1,Data Scientist,0,US,2,120000
118,2023,SE,1,Analytics Engineer,0,US,2,214000
119,2023,SE,1,Analytics Engineer,0,US,2,179820
120,2023,SE,1,Analytics Engineer,0,US,2,143860
121,2023,SE,1,Machine Learning Engineer,100,US,2,283200
122,2023,SE,1,Machine Learning Engineer,100,US,2,188800
124,2023,SE,1,Analytics Engineer,0,US,2,214200
125,2023,SE,1,Data Engineer,0,US,2,185900
126,2023,SE,1,Data Engineer,0,US,2,129300
127,2023,SE,1,Data Engineer,0,US,2,252000
128,2023,SE,1,Data Engineer,0,US,2,129000
129,2023,MI,1,Data Analytics Manager,0,US,2,155000
130,2023,MI,1,Data Analytics Manager,0,US,2,140000
131,2023,SE,1,Data Engineer,100,US,2,161800
132,2023,SE,1,Data Engineer,100,US,2,141600
134,2023,SE,1,Machine Learning Engineer,0,US,3,176100
135,2023,MI,1,Data Engineer,100,US,2,100000
136,2023,MI,1,Data Engineer,100,US,2,70000
137,2023,EN,1,Data Engineer,0,US,2,85000
138,2023,EN,1,Data Engineer,0,US,2,65000
139,2023,SE,1,Data Scientist,100,US,2,138784
140,2023,SE,1,Data Scientist,100,US,2,83270
141,2023,EN,1,Data Analyst,0,US,2,75000
142,2023,EN,1,Data Analyst,0,US,2,70000
143,2023,SE,1,Data Analyst,0,US,2,204500
144,2023,SE,1,Data Analyst,0,US,2,138900
146,2023,SE,1,Machine Learning Engineer,100,US,2,212200
147,2023,SE,1,Data Engineer,100,US,2,95000
148,2023,SE,1,Data Engineer,100,US,2,75000
149,2023,SE,1,Data Scientist,0,US,2,195000
150,2023,SE,1,Data Scientist,0,US,2,160000
151,2023,SE,1,Analytics Engineer,0,US,2,230000
152,2023,SE,1,Analytics Engineer,0,US,2,143200
153,2023,MI,1,Data Engineer,100,US,2,100000
154,2023,MI,1,Data Engineer,100,US,2,70000
155,2023,MI,1,Business Data Analyst,50,US,3,105000
156,2023,MI,1,Applied Data Scientist,100,IN,3,23800
157,2023,MI,1,Data Analyst,0,GB,2,53580
158,2023,MI,1,Data Analyst,0,GB,2,49350
159,2023,SE,1,Data Engineer,0,US,2,145000
160,2023,SE,1,Data Engineer,0,US,2,115000
161,2023,SE,1,Data Analyst,0,US,2,168400
162,2023,SE,1,Data Analyst,0,US,2,105200
164,2023,SE,1,Applied Scientist,0,US,3,159100
165,2023,SE,1,Machine Learning Engineer,0,US,2,190000
166,2023,SE,1,Machine Learning Engineer,0,US,2,150000
167,2023,MI,1,Data Engineer,0,US,2,162500
168,2023,MI,1,Data Engineer,0,US,2,130000
169,2023,SE,1,Analytics Engineer,100,US,2,150000
170,2023,SE,1,Analytics Engineer,100,US,2,120000
171,2023,SE,1,Data Engineer,0,US,2,145000
172,2023,SE,1,Data Engineer,0,US,2,120000
173,2023,SE,1,Applied Scientist,0,US,3,222200
174,2023,SE,1,Applied Scientist,0,US,3,136000
175,2023,SE,1,Data Analyst,100,CF,2,63450
176,2023,SE,1,Data Analyst,100,CF,2,49350
177,2023,SE,1,Data Engineer,0,US,2,241000
178,2023,SE,1,Data Engineer,0,US,2,155000
179,2023,SE,1,Data Engineer,100,US,2,220000
180,2023,SE,1,Data Engineer,100,US,2,190000
181,2023,MI,1,Data Scientist,0,GB,2,77550
182,2023,MI,1,Data Scientist,0,GB,2,63450
183,2020,EX,1,Staff Data Analyst,0,CA,2,15000
184,2023,MI,1,ETL Engineer,100,GB,2,98700
185,2023,MI,1,ETL Engineer,100,GB,2,66975
186,2023,EN,1,Data Analyst,100,US,2,85000
187,2023,EN,1,Data Analyst,100,US,2,75000
188,2023,SE,1,Data Engineer,0,US,2,160000
189,2023,SE,1,Data Engineer,0,US,2,140000
191,2023,MI,1,Machine Learning Engineer,0,US,2,250000
192,2023,SE,1,Data Scientist,0,US,2,228000
193,2023,SE,1,Data Scientist,0,US,2,186000
